Año;Cultivo
1996;Soja
1998;Maíz
1998;Maíz
1998;Algodón
1998;Maíz
2001;Algodón
2001;Maíz
2004;Maíz
2005;Maíz
2005;Maíz
2007;Maíz
2008;Maíz
2009;Algodón
2009;Maíz
2010;Maíz
2010;Maíz
2010;Maíz
2011;Maíz
2011;Soja
2011;Soja
2011;Maíz
2011;Maíz
2012;Maíz
2012;Maíz
2012;Maíz
2012;Maíz
2012;Soja
2013;Soja
2013;Maíz
2014;Maíz
2015;Soja
2015;Papa
2015;Soja
2015;Soja
2015;Algodón
2016;Maíz
2016;Soja
2016;Soja
2016;Maíz
2016;Soja
2016;Maíz
2017;Soja
2017;Cártamo
2018;Maíz
2018;Soja
2018;Maíz
2018;Maíz
2018;Alfalfa
2018;Soja
2018;Papa
2018;Maíz
2018;Soja
2019;Algodón
2019;Soja
2019;Maíz
2019;Algodón
2019;Maíz
2019;Maíz
2019;Maíz
2019;Maíz
2019;Algodón
